epoch,train_loss,val_loss,lr,best_val_loss
1,1.937737,,5.45e-05,inf
2,1.302771,,1.04e-04,inf
3,0.966892,,1.53e-04,inf
4,0.860741,,2.03e-04,inf
5,0.799931,0.721356,2.53e-04,0.721356
6,0.707106,,3.02e-04,0.721356
7,0.654042,,3.52e-04,0.721356
8,0.620403,,4.01e-04,0.721356
9,0.591224,,4.51e-04,0.721356
10,0.583464,0.551022,5.00e-04,0.551022
11,0.555824,,5.00e-04,0.551022
12,0.551535,,5.00e-04,0.551022
13,0.538339,,5.00e-04,0.551022
14,0.533473,,5.00e-04,0.551022
15,0.503166,0.519110,5.00e-04,0.519110
16,0.498484,,5.00e-04,0.519110
17,0.488025,,5.00e-04,0.519110
18,0.481512,,5.00e-04,0.519110
19,0.468374,,5.00e-04,0.519110
20,0.464735,0.465221,4.99e-04,0.465221
21,0.453840,,4.99e-04,0.465221
22,0.454956,,4.99e-04,0.465221
23,0.448709,,4.99e-04,0.465221
24,0.446177,,4.99e-04,0.465221
25,0.447685,0.456380,4.99e-04,0.456380
26,0.434166,,4.99e-04,0.456380
27,0.442956,,4.99e-04,0.456380
28,0.440351,,4.98e-04,0.456380
29,0.438352,,4.98e-04,0.456380
30,0.437442,0.425289,4.98e-04,0.425289
31,0.428310,,4.98e-04,0.425289
32,0.431060,,4.98e-04,0.425289
33,0.437291,,4.97e-04,0.425289
34,0.414880,,4.97e-04,0.425289
35,0.407630,0.437870,4.97e-04,0.425289
36,0.414844,,4.97e-04,0.425289
37,0.422352,,4.96e-04,0.425289
38,0.414270,,4.96e-04,0.425289
39,0.404303,,4.96e-04,0.425289
40,0.406543,0.432313,4.95e-04,0.425289
41,0.405161,,4.95e-04,0.425289
42,0.405587,,4.95e-04,0.425289
43,0.411519,,4.94e-04,0.425289
44,0.403171,,4.94e-04,0.425289
45,0.394814,0.428805,4.94e-04,0.425289
46,0.397401,,4.93e-04,0.425289
47,0.393579,,4.93e-04,0.425289
48,0.392656,,4.93e-04,0.425289
49,0.394264,,4.92e-04,0.425289
50,0.394657,0.397888,4.92e-04,0.397888
51,0.394106,,4.91e-04,0.397888
52,0.389238,,4.91e-04,0.397888
53,0.388492,,4.91e-04,0.397888
54,0.394329,,4.90e-04,0.397888
55,0.394926,0.422288,4.90e-04,0.397888
56,0.388693,,4.89e-04,0.397888
57,0.390415,,4.89e-04,0.397888
58,0.374528,,4.88e-04,0.397888
59,0.382269,,4.88e-04,0.397888
60,0.378595,0.443466,4.87e-04,0.397888
61,0.373786,,4.87e-04,0.397888
62,0.381027,,4.86e-04,0.397888
63,0.375667,,4.86e-04,0.397888
64,0.378020,,4.85e-04,0.397888
65,0.370287,0.409976,4.85e-04,0.397888
66,0.368492,,4.84e-04,0.397888
67,0.373319,,4.84e-04,0.397888
68,0.365002,,4.83e-04,0.397888
69,0.364096,,4.82e-04,0.397888
70,0.362533,0.391643,4.82e-04,0.391643
71,0.367461,,4.81e-04,0.391643
72,0.368207,,4.81e-04,0.391643
73,0.370987,,4.80e-04,0.391643
74,0.358716,,4.79e-04,0.391643
75,0.362245,0.403843,4.79e-04,0.391643
76,0.361671,,4.78e-04,0.391643
77,0.361670,,4.77e-04,0.391643
78,0.362940,,4.77e-04,0.391643
79,0.357608,,4.76e-04,0.391643
80,0.357163,0.386001,4.75e-04,0.386001
81,0.352764,,4.75e-04,0.386001
82,0.354671,,4.74e-04,0.386001
83,0.349265,,4.73e-04,0.386001
84,0.353121,,4.72e-04,0.386001
85,0.359757,0.392748,4.72e-04,0.386001
86,0.347473,,4.71e-04,0.386001
87,0.345776,,4.70e-04,0.386001
88,0.346278,,4.69e-04,0.386001
89,0.346592,,4.69e-04,0.386001
90,0.349823,0.400040,4.68e-04,0.386001
91,0.345188,,4.67e-04,0.386001
92,0.346747,,4.66e-04,0.386001
93,0.343053,,4.65e-04,0.386001
94,0.345199,,4.65e-04,0.386001
95,0.347705,0.395166,4.64e-04,0.386001
96,0.347826,,4.63e-04,0.386001
97,0.348482,,4.62e-04,0.386001
98,0.344140,,4.61e-04,0.386001
99,0.344107,,4.60e-04,0.386001
100,0.341451,0.393479,4.60e-04,0.386001
101,0.335085,,4.59e-04,0.386001
102,0.341070,,4.58e-04,0.386001
103,0.339295,,4.57e-04,0.386001
104,0.340592,,4.56e-04,0.386001
105,0.340740,0.387478,4.55e-04,0.386001
106,0.338449,,4.54e-04,0.386001
107,0.338852,,4.53e-04,0.386001
108,0.338173,,4.52e-04,0.386001
109,0.340446,,4.51e-04,0.386001
110,0.333695,0.367359,4.50e-04,0.367359
111,0.336557,,4.49e-04,0.367359
112,0.332769,,4.49e-04,0.367359
113,0.330587,,4.48e-04,0.367359
114,0.330463,,4.47e-04,0.367359
115,0.332844,0.405179,4.46e-04,0.367359
116,0.335683,,4.45e-04,0.367359
117,0.333275,,4.44e-04,0.367359
118,0.325834,,4.43e-04,0.367359
119,0.326818,,4.42e-04,0.367359
120,0.327464,0.382331,4.40e-04,0.367359
121,0.328177,,4.39e-04,0.367359
122,0.330510,,4.38e-04,0.367359
123,0.323838,,4.37e-04,0.367359
124,0.325832,,4.36e-04,0.367359
125,0.329383,0.394596,4.35e-04,0.367359
126,0.324698,,4.34e-04,0.367359
127,0.324292,,4.33e-04,0.367359
128,0.324715,,4.32e-04,0.367359
129,0.326667,,4.31e-04,0.367359
130,0.315438,0.396386,4.30e-04,0.367359
131,0.321289,,4.29e-04,0.367359
132,0.321616,,4.27e-04,0.367359
133,0.325657,,4.26e-04,0.367359
134,0.321808,,4.25e-04,0.367359
135,0.323383,0.388995,4.24e-04,0.367359
136,0.317154,,4.23e-04,0.367359
137,0.325440,,4.22e-04,0.367359
138,0.325527,,4.21e-04,0.367359
139,0.321777,,4.19e-04,0.367359
140,0.317182,0.377135,4.18e-04,0.367359
141,0.315058,,4.17e-04,0.367359
142,0.317162,,4.16e-04,0.367359
143,0.323469,,4.15e-04,0.367359
144,0.314392,,4.13e-04,0.367359
145,0.310967,0.399023,4.12e-04,0.367359
146,0.320204,,4.11e-04,0.367359
147,0.314715,,4.10e-04,0.367359
148,0.315468,,4.09e-04,0.367359
149,0.313380,,4.07e-04,0.367359
150,0.309438,0.390392,4.06e-04,0.367359
151,0.310897,,4.05e-04,0.367359
152,0.318327,,4.04e-04,0.367359
153,0.311380,,4.02e-04,0.367359
154,0.314959,,4.01e-04,0.367359
155,0.309418,0.374364,4.00e-04,0.367359
156,0.311457,,3.98e-04,0.367359
157,0.309906,,3.97e-04,0.367359
158,0.302972,,3.96e-04,0.367359
159,0.316599,,3.95e-04,0.367359
160,0.310999,0.407950,3.93e-04,0.367359
161,0.306969,,3.92e-04,0.367359
162,0.311546,,3.91e-04,0.367359
163,0.312134,,3.89e-04,0.367359
164,0.310292,,3.88e-04,0.367359
165,0.312213,0.377817,3.87e-04,0.367359
166,0.308173,,3.85e-04,0.367359
167,0.311351,,3.84e-04,0.367359
168,0.305181,,3.83e-04,0.367359
169,0.306820,,3.81e-04,0.367359
170,0.298964,0.415775,3.80e-04,0.367359
171,0.305841,,3.78e-04,0.367359
172,0.305504,,3.77e-04,0.367359
173,0.304033,,3.76e-04,0.367359
174,0.309516,,3.74e-04,0.367359
175,0.299677,0.427699,3.73e-04,0.367359
176,0.309204,,3.72e-04,0.367359
177,0.308185,,3.70e-04,0.367359
178,0.299704,,3.69e-04,0.367359
179,0.307047,,3.67e-04,0.367359
180,0.303575,0.410483,3.66e-04,0.367359
181,0.306606,,3.64e-04,0.367359
182,0.300480,,3.63e-04,0.367359
183,0.299902,,3.62e-04,0.367359
184,0.307774,,3.60e-04,0.367359
185,0.297447,0.399780,3.59e-04,0.367359
186,0.300412,,3.57e-04,0.367359
187,0.295600,,3.56e-04,0.367359
188,0.301405,,3.54e-04,0.367359
189,0.299275,,3.53e-04,0.367359
190,0.301206,0.382813,3.51e-04,0.367359
191,0.299022,,3.50e-04,0.367359
192,0.300527,,3.49e-04,0.367359
193,0.294464,,3.47e-04,0.367359
194,0.301127,,3.46e-04,0.367359
195,0.299678,0.394282,3.44e-04,0.367359
196,0.296318,,3.43e-04,0.367359
197,0.297663,,3.41e-04,0.367359
198,0.292780,,3.40e-04,0.367359
199,0.294143,,3.38e-04,0.367359
200,0.293433,0.384633,3.37e-04,0.367359
201,0.298203,,3.35e-04,0.367359
202,0.299096,,3.34e-04,0.367359
203,0.293028,,3.32e-04,0.367359
204,0.291610,,3.31e-04,0.367359
205,0.294053,0.395366,3.29e-04,0.367359
206,0.287665,,3.28e-04,0.367359
207,0.290782,,3.26e-04,0.367359
208,0.288959,,3.25e-04,0.367359
209,0.294479,,3.23e-04,0.367359
210,0.292477,0.386459,3.21e-04,0.367359
211,0.293699,,3.20e-04,0.367359
212,0.288326,,3.18e-04,0.367359
213,0.292253,,3.17e-04,0.367359
214,0.290618,,3.15e-04,0.367359
215,0.292847,0.377260,3.14e-04,0.367359
216,0.295546,,3.12e-04,0.367359
217,0.287989,,3.11e-04,0.367359
218,0.290932,,3.09e-04,0.367359
219,0.297012,,3.08e-04,0.367359
220,0.287273,0.399448,3.06e-04,0.367359
221,0.290334,,3.04e-04,0.367359
222,0.287290,,3.03e-04,0.367359
223,0.288784,,3.01e-04,0.367359
224,0.290532,,3.00e-04,0.367359
225,0.292815,0.382036,2.98e-04,0.367359
226,0.288785,,2.97e-04,0.367359
227,0.280495,,2.95e-04,0.367359
228,0.282397,,2.93e-04,0.367359
229,0.287512,,2.92e-04,0.367359
230,0.283093,0.399720,2.90e-04,0.367359
231,0.295987,,2.89e-04,0.367359
232,0.288276,,2.87e-04,0.367359
233,0.286462,,2.86e-04,0.367359
234,0.283742,,2.84e-04,0.367359
235,0.282523,0.383502,2.82e-04,0.367359
236,0.288730,,2.81e-04,0.367359
237,0.287377,,2.79e-04,0.367359
238,0.283388,,2.78e-04,0.367359
239,0.283188,,2.76e-04,0.367359
240,0.283519,0.397511,2.74e-04,0.367359
241,0.289439,,2.73e-04,0.367359
242,0.283605,,2.71e-04,0.367359
243,0.281696,,2.70e-04,0.367359
244,0.280384,,2.68e-04,0.367359
245,0.287561,0.426568,2.66e-04,0.367359
246,0.280258,,2.65e-04,0.367359
247,0.282986,,2.63e-04,0.367359
248,0.282923,,2.62e-04,0.367359
249,0.287051,,2.60e-04,0.367359
250,0.287849,0.389885,2.58e-04,0.367359
251,0.280472,,2.57e-04,0.367359
252,0.283396,,2.55e-04,0.367359
253,0.283266,,2.54e-04,0.367359
254,0.287191,,2.52e-04,0.367359
255,0.285296,0.430134,2.50e-04,0.367359
256,0.279485,,2.49e-04,0.367359
257,0.284850,,2.47e-04,0.367359
258,0.284565,,2.46e-04,0.367359
259,0.280365,,2.44e-04,0.367359
260,0.277111,0.404842,2.43e-04,0.367359
