epoch,train_loss,val_loss,lr,best_val_loss
1,0.949015,,5.45e-05,inf
2,0.403977,,1.04e-04,inf
3,0.290070,,1.53e-04,inf
4,0.261912,,2.03e-04,inf
5,0.205520,0.157827,2.53e-04,0.157827
6,0.162944,,3.02e-04,0.157827
7,0.142633,,3.52e-04,0.157827
8,0.126875,,4.01e-04,0.157827
9,0.132952,,4.51e-04,0.157827
10,0.117754,0.109279,5.00e-04,0.109279
11,0.110668,,5.00e-04,0.109279
12,0.112662,,5.00e-04,0.109279
13,0.111305,,5.00e-04,0.109279
14,0.105084,,5.00e-04,0.109279
15,0.101263,0.081080,5.00e-04,0.081080
16,0.094981,,5.00e-04,0.081080
17,0.091730,,5.00e-04,0.081080
18,0.091398,,5.00e-04,0.081080
19,0.088930,,5.00e-04,0.081080
20,0.094188,0.088905,4.99e-04,0.081080
21,0.088576,,4.99e-04,0.081080
22,0.087222,,4.99e-04,0.081080
23,0.084987,,4.99e-04,0.081080
24,0.083404,,4.99e-04,0.081080
25,0.083068,0.077501,4.99e-04,0.077501
26,0.080028,,4.99e-04,0.077501
27,0.082151,,4.99e-04,0.077501
28,0.083455,,4.98e-04,0.077501
29,0.080765,,4.98e-04,0.077501
30,0.079097,0.080932,4.98e-04,0.077501
31,0.078244,,4.98e-04,0.077501
32,0.079620,,4.98e-04,0.077501
33,0.081129,,4.97e-04,0.077501
34,0.079850,,4.97e-04,0.077501
35,0.078250,0.075151,4.97e-04,0.075151
36,0.077309,,4.97e-04,0.075151
37,0.078720,,4.96e-04,0.075151
38,0.077277,,4.96e-04,0.075151
39,0.077463,,4.96e-04,0.075151
40,0.077105,0.077075,4.95e-04,0.075151
41,0.075928,,4.95e-04,0.075151
42,0.074443,,4.95e-04,0.075151
43,0.073919,,4.94e-04,0.075151
44,0.080994,,4.94e-04,0.075151
45,0.077504,0.070081,4.94e-04,0.070081
46,0.074141,,4.93e-04,0.070081
47,0.077116,,4.93e-04,0.070081
48,0.076834,,4.93e-04,0.070081
49,0.071833,,4.92e-04,0.070081
50,0.075421,0.073049,4.92e-04,0.070081
51,0.077633,,4.91e-04,0.070081
52,0.074273,,4.91e-04,0.070081
53,0.072790,,4.91e-04,0.070081
54,0.070346,,4.90e-04,0.070081
55,0.073807,0.064186,4.90e-04,0.064186
56,0.070672,,4.89e-04,0.064186
57,0.076192,,4.89e-04,0.064186
58,0.073648,,4.88e-04,0.064186
59,0.070660,,4.88e-04,0.064186
60,0.071155,0.067559,4.87e-04,0.064186
61,0.069961,,4.87e-04,0.064186
62,0.072994,,4.86e-04,0.064186
63,0.071864,,4.86e-04,0.064186
64,0.070916,,4.85e-04,0.064186
65,0.073766,0.071205,4.85e-04,0.064186
66,0.070700,,4.84e-04,0.064186
67,0.068789,,4.84e-04,0.064186
68,0.069900,,4.83e-04,0.064186
69,0.071351,,4.82e-04,0.064186
70,0.068686,0.064355,4.82e-04,0.064186
71,0.067948,,4.81e-04,0.064186
72,0.069205,,4.81e-04,0.064186
73,0.067579,,4.80e-04,0.064186
74,0.069447,,4.79e-04,0.064186
75,0.070653,0.065774,4.79e-04,0.064186
76,0.064924,,4.78e-04,0.064186
77,0.069754,,4.77e-04,0.064186
78,0.067428,,4.77e-04,0.064186
79,0.068997,,4.76e-04,0.064186
80,0.066295,0.063184,4.75e-04,0.063184
81,0.064975,,4.75e-04,0.063184
82,0.066564,,4.74e-04,0.063184
83,0.066496,,4.73e-04,0.063184
84,0.065506,,4.72e-04,0.063184
85,0.066340,0.066734,4.72e-04,0.063184
86,0.066176,,4.71e-04,0.063184
87,0.067238,,4.70e-04,0.063184
88,0.065840,,4.69e-04,0.063184
89,0.067816,,4.69e-04,0.063184
90,0.067147,0.068990,4.68e-04,0.063184
91,0.066851,,4.67e-04,0.063184
92,0.064737,,4.66e-04,0.063184
93,0.066272,,4.65e-04,0.063184
94,0.064147,,4.65e-04,0.063184
95,0.066441,0.062180,4.64e-04,0.062180
96,0.066781,,4.63e-04,0.062180
97,0.066088,,4.62e-04,0.062180
98,0.068418,,4.61e-04,0.062180
99,0.066431,,4.60e-04,0.062180
100,0.065243,0.066228,4.60e-04,0.062180
101,0.065994,,4.59e-04,0.062180
102,0.064106,,4.58e-04,0.062180
103,0.066974,,4.57e-04,0.062180
104,0.064411,,4.56e-04,0.062180
105,0.065090,0.060683,4.55e-04,0.060683
106,0.064664,,4.54e-04,0.060683
107,0.064682,,4.53e-04,0.060683
108,0.064677,,4.52e-04,0.060683
109,0.064503,,4.51e-04,0.060683
110,0.065655,0.058410,4.50e-04,0.058410
111,0.066642,,4.49e-04,0.058410
112,0.063928,,4.49e-04,0.058410
113,0.063114,,4.48e-04,0.058410
114,0.061440,,4.47e-04,0.058410
115,0.062790,0.067718,4.46e-04,0.058410
116,0.067906,,4.45e-04,0.058410
117,0.065039,,4.44e-04,0.058410
118,0.061328,,4.43e-04,0.058410
119,0.062431,,4.42e-04,0.058410
120,0.064872,0.066010,4.40e-04,0.058410
121,0.062553,,4.39e-04,0.058410
122,0.061279,,4.38e-04,0.058410
123,0.060519,,4.37e-04,0.058410
124,0.066936,,4.36e-04,0.058410
125,0.065052,0.057771,4.35e-04,0.057771
126,0.064072,,4.34e-04,0.057771
127,0.062701,,4.33e-04,0.057771
128,0.062783,,4.32e-04,0.057771
129,0.059810,,4.31e-04,0.057771
130,0.063745,0.054789,4.30e-04,0.054789
131,0.062118,,4.29e-04,0.054789
132,0.062020,,4.27e-04,0.054789
133,0.060689,,4.26e-04,0.054789
134,0.059818,,4.25e-04,0.054789
135,0.062739,0.065217,4.24e-04,0.054789
136,0.061567,,4.23e-04,0.054789
137,0.061008,,4.22e-04,0.054789
138,0.061820,,4.21e-04,0.054789
139,0.063530,,4.19e-04,0.054789
140,0.061963,0.057334,4.18e-04,0.054789
141,0.059525,,4.17e-04,0.054789
142,0.062840,,4.16e-04,0.054789
143,0.063459,,4.15e-04,0.054789
144,0.061634,,4.13e-04,0.054789
145,0.061037,0.059320,4.12e-04,0.054789
146,0.059802,,4.11e-04,0.054789
147,0.062454,,4.10e-04,0.054789
148,0.061441,,4.09e-04,0.054789
149,0.061279,,4.07e-04,0.054789
150,0.059828,0.063641,4.06e-04,0.054789
151,0.060066,,4.05e-04,0.054789
152,0.060320,,4.04e-04,0.054789
153,0.063559,,4.02e-04,0.054789
154,0.061590,,4.01e-04,0.054789
155,0.059960,0.057264,4.00e-04,0.054789
156,0.059679,,3.98e-04,0.054789
157,0.057974,,3.97e-04,0.054789
158,0.059200,,3.96e-04,0.054789
159,0.061016,,3.95e-04,0.054789
160,0.060791,0.057616,3.93e-04,0.054789
161,0.059823,,3.92e-04,0.054789
162,0.062883,,3.91e-04,0.054789
163,0.061975,,3.89e-04,0.054789
164,0.060279,,3.88e-04,0.054789
165,0.058456,0.062643,3.87e-04,0.054789
166,0.057496,,3.85e-04,0.054789
167,0.057156,,3.84e-04,0.054789
168,0.060509,,3.83e-04,0.054789
169,0.059781,,3.81e-04,0.054789
170,0.059521,0.059893,3.80e-04,0.054789
171,0.060971,,3.78e-04,0.054789
172,0.059794,,3.77e-04,0.054789
173,0.058879,,3.76e-04,0.054789
174,0.058553,,3.74e-04,0.054789
175,0.061105,0.057510,3.73e-04,0.054789
176,0.060979,,3.72e-04,0.054789
177,0.065608,,3.70e-04,0.054789
178,0.064493,,3.69e-04,0.054789
179,0.057047,,3.67e-04,0.054789
180,0.058222,0.057125,3.66e-04,0.054789
181,0.058153,,3.64e-04,0.054789
182,0.058577,,3.63e-04,0.054789
183,0.059688,,3.62e-04,0.054789
184,0.058567,,3.60e-04,0.054789
185,0.058306,0.062246,3.59e-04,0.054789
186,0.058311,,3.57e-04,0.054789
187,0.057215,,3.56e-04,0.054789
188,0.056352,,3.54e-04,0.054789
189,0.061624,,3.53e-04,0.054789
190,0.060339,0.061882,3.51e-04,0.054789
191,0.061386,,3.50e-04,0.054789
192,0.058593,,3.49e-04,0.054789
193,0.060531,,3.47e-04,0.054789
194,0.060366,,3.46e-04,0.054789
195,0.058433,0.059965,3.44e-04,0.054789
196,0.057498,,3.43e-04,0.054789
197,0.059879,,3.41e-04,0.054789
198,0.060918,,3.40e-04,0.054789
199,0.057833,,3.38e-04,0.054789
200,0.058776,0.061970,3.37e-04,0.054789
201,0.057108,,3.35e-04,0.054789
202,0.056829,,3.34e-04,0.054789
203,0.058732,,3.32e-04,0.054789
204,0.055265,,3.31e-04,0.054789
205,0.056564,0.058291,3.29e-04,0.054789
206,0.058516,,3.28e-04,0.054789
207,0.055945,,3.26e-04,0.054789
208,0.055590,,3.25e-04,0.054789
209,0.057912,,3.23e-04,0.054789
210,0.058732,0.057762,3.21e-04,0.054789
211,0.056424,,3.20e-04,0.054789
212,0.055543,,3.18e-04,0.054789
213,0.056283,,3.17e-04,0.054789
214,0.055154,,3.15e-04,0.054789
215,0.056244,0.055339,3.14e-04,0.054789
216,0.056702,,3.12e-04,0.054789
217,0.059273,,3.11e-04,0.054789
218,0.057741,,3.09e-04,0.054789
219,0.057320,,3.08e-04,0.054789
220,0.058721,0.054848,3.06e-04,0.054789
221,0.054972,,3.04e-04,0.054789
222,0.054649,,3.03e-04,0.054789
223,0.058301,,3.01e-04,0.054789
224,0.058581,,3.00e-04,0.054789
225,0.055794,0.056983,2.98e-04,0.054789
226,0.054164,,2.97e-04,0.054789
227,0.055643,,2.95e-04,0.054789
228,0.058015,,2.93e-04,0.054789
229,0.056539,,2.92e-04,0.054789
230,0.056626,0.055715,2.90e-04,0.054789
231,0.057023,,2.89e-04,0.054789
232,0.052970,,2.87e-04,0.054789
233,0.057783,,2.86e-04,0.054789
234,0.056853,,2.84e-04,0.054789
235,0.056151,0.061083,2.82e-04,0.054789
236,0.057708,,2.81e-04,0.054789
237,0.061807,,2.79e-04,0.054789
238,0.056133,,2.78e-04,0.054789
239,0.056447,,2.76e-04,0.054789
240,0.054121,0.056581,2.74e-04,0.054789
241,0.057486,,2.73e-04,0.054789
242,0.055991,,2.71e-04,0.054789
243,0.055724,,2.70e-04,0.054789
244,0.053755,,2.68e-04,0.054789
245,0.054101,0.052790,2.66e-04,0.052790
246,0.056783,,2.65e-04,0.052790
247,0.055954,,2.63e-04,0.052790
248,0.053532,,2.62e-04,0.052790
249,0.055337,,2.60e-04,0.052790
250,0.054636,0.059524,2.58e-04,0.052790
251,0.054836,,2.57e-04,0.052790
252,0.055059,,2.55e-04,0.052790
253,0.055852,,2.54e-04,0.052790
254,0.057404,,2.52e-04,0.052790
255,0.053073,0.056924,2.50e-04,0.052790
256,0.054269,,2.49e-04,0.052790
257,0.055533,,2.47e-04,0.052790
258,0.052953,,2.46e-04,0.052790
259,0.052407,,2.44e-04,0.052790
260,0.055405,0.056198,2.43e-04,0.052790
261,0.056195,,2.41e-04,0.052790
262,0.056379,,2.39e-04,0.052790
263,0.053723,,2.38e-04,0.052790
264,0.053217,,2.36e-04,0.052790
265,0.054569,0.055696,2.35e-04,0.052790
266,0.054095,,2.33e-04,0.052790
267,0.056326,,2.31e-04,0.052790
268,0.053061,,2.30e-04,0.052790
269,0.055448,,2.28e-04,0.052790
270,0.055201,0.053574,2.27e-04,0.052790
271,0.052829,,2.25e-04,0.052790
272,0.054880,,2.23e-04,0.052790
273,0.053922,,2.22e-04,0.052790
274,0.054866,,2.20e-04,0.052790
275,0.053194,0.055066,2.19e-04,0.052790
276,0.053926,,2.17e-04,0.052790
277,0.053337,,2.15e-04,0.052790
278,0.053413,,2.14e-04,0.052790
279,0.055145,,2.12e-04,0.052790
280,0.055740,0.057208,2.11e-04,0.052790
281,0.054651,,2.09e-04,0.052790
282,0.053090,,2.08e-04,0.052790
283,0.054236,,2.06e-04,0.052790
284,0.054918,,2.04e-04,0.052790
285,0.056734,0.057982,2.03e-04,0.052790
286,0.054935,,2.01e-04,0.052790
287,0.052906,,2.00e-04,0.052790
288,0.052044,,1.98e-04,0.052790
289,0.051880,,1.97e-04,0.052790
290,0.054493,0.051570,1.95e-04,0.051570
291,0.056111,,1.93e-04,0.051570
292,0.052850,,1.92e-04,0.051570
293,0.052280,,1.90e-04,0.051570
294,0.050816,,1.89e-04,0.051570
295,0.054726,0.053997,1.87e-04,0.051570
296,0.053954,,1.86e-04,0.051570
297,0.052857,,1.84e-04,0.051570
298,0.053043,,1.83e-04,0.051570
299,0.052194,,1.81e-04,0.051570
300,0.052518,0.053156,1.80e-04,0.051570
301,0.052853,,1.78e-04,0.051570
302,0.054497,,1.76e-04,0.051570
303,0.053291,,1.75e-04,0.051570
304,0.053577,,1.73e-04,0.051570
305,0.053974,0.055877,1.72e-04,0.051570
306,0.052011,,1.70e-04,0.051570
307,0.052679,,1.69e-04,0.051570
308,0.054463,,1.67e-04,0.051570
309,0.053459,,1.66e-04,0.051570
310,0.053491,0.060773,1.64e-04,0.051570
311,0.053437,,1.63e-04,0.051570
312,0.055127,,1.61e-04,0.051570
313,0.051514,,1.60e-04,0.051570
314,0.052579,,1.58e-04,0.051570
315,0.052538,0.057897,1.57e-04,0.051570
316,0.052594,,1.55e-04,0.051570
317,0.052196,,1.54e-04,0.051570
318,0.052965,,1.52e-04,0.051570
319,0.053753,,1.51e-04,0.051570
320,0.054830,0.054263,1.50e-04,0.051570
321,0.054225,,1.48e-04,0.051570
322,0.052561,,1.47e-04,0.051570
323,0.052166,,1.45e-04,0.051570
324,0.051993,,1.44e-04,0.051570
325,0.052029,0.061668,1.42e-04,0.051570
326,0.052928,,1.41e-04,0.051570
327,0.052513,,1.39e-04,0.051570
328,0.053751,,1.38e-04,0.051570
329,0.053158,,1.37e-04,0.051570
330,0.051444,0.054699,1.35e-04,0.051570
331,0.052176,,1.34e-04,0.051570
332,0.050797,,1.32e-04,0.051570
333,0.052361,,1.31e-04,0.051570
334,0.051055,,1.29e-04,0.051570
335,0.052336,0.052618,1.28e-04,0.051570
336,0.052371,,1.27e-04,0.051570
337,0.052076,,1.25e-04,0.051570
338,0.052478,,1.24e-04,0.051570
339,0.050638,,1.23e-04,0.051570
340,0.050715,0.053689,1.21e-04,0.051570
341,0.052338,,1.20e-04,0.051570
342,0.050796,,1.18e-04,0.051570
343,0.051822,,1.17e-04,0.051570
344,0.051854,,1.16e-04,0.051570
345,0.054052,0.053884,1.14e-04,0.051570
346,0.052093,,1.13e-04,0.051570
347,0.050456,,1.12e-04,0.051570
348,0.049077,,1.10e-04,0.051570
349,0.050945,,1.09e-04,0.051570
350,0.049940,0.049112,1.08e-04,0.049112
351,0.050458,,1.06e-04,0.049112
352,0.050630,,1.05e-04,0.049112
353,0.052923,,1.04e-04,0.049112
354,0.052726,,1.03e-04,0.049112
355,0.051399,0.051272,1.01e-04,0.049112
356,0.052256,,1.00e-04,0.049112
357,0.051100,,9.87e-05,0.049112
358,0.051152,,9.75e-05,0.049112
359,0.051518,,9.62e-05,0.049112
360,0.051271,0.052619,9.49e-05,0.049112
361,0.051391,,9.37e-05,0.049112
362,0.052802,,9.25e-05,0.049112
363,0.051961,,9.12e-05,0.049112
364,0.052282,,9.00e-05,0.049112
365,0.050266,0.058533,8.88e-05,0.049112
366,0.052414,,8.76e-05,0.049112
367,0.051318,,8.63e-05,0.049112
368,0.051593,,8.51e-05,0.049112
369,0.050686,,8.39e-05,0.049112
370,0.051037,0.059351,8.28e-05,0.049112
371,0.051897,,8.16e-05,0.049112
372,0.051509,,8.04e-05,0.049112
373,0.050925,,7.92e-05,0.049112
374,0.049311,,7.81e-05,0.049112
375,0.052104,0.054603,7.69e-05,0.049112
376,0.051210,,7.58e-05,0.049112
377,0.049580,,7.46e-05,0.049112
378,0.051280,,7.35e-05,0.049112
379,0.050140,,7.24e-05,0.049112
380,0.050043,0.056986,7.13e-05,0.049112
381,0.051353,,7.02e-05,0.049112
382,0.050056,,6.91e-05,0.049112
383,0.050355,,6.80e-05,0.049112
384,0.048928,,6.69e-05,0.049112
385,0.050519,0.054059,6.58e-05,0.049112
386,0.049764,,6.47e-05,0.049112
387,0.051536,,6.37e-05,0.049112
388,0.050818,,6.26e-05,0.049112
389,0.050394,,6.16e-05,0.049112
390,0.049511,0.050499,6.05e-05,0.049112
391,0.050369,,5.95e-05,0.049112
392,0.049795,,5.85e-05,0.049112
393,0.049866,,5.74e-05,0.049112
394,0.051356,,5.64e-05,0.049112
395,0.048458,0.056572,5.54e-05,0.049112
396,0.051452,,5.44e-05,0.049112
397,0.050384,,5.35e-05,0.049112
398,0.049901,,5.25e-05,0.049112
399,0.049730,,5.15e-05,0.049112
400,0.051845,0.051466,5.05e-05,0.049112
401,0.051146,,4.96e-05,0.049112
402,0.050960,,4.87e-05,0.049112
403,0.049533,,4.77e-05,0.049112
404,0.049654,,4.68e-05,0.049112
405,0.049450,0.051286,4.59e-05,0.049112
406,0.048706,,4.50e-05,0.049112
407,0.050572,,4.41e-05,0.049112
408,0.049127,,4.32e-05,0.049112
409,0.049967,,4.23e-05,0.049112
410,0.049361,0.055838,4.14e-05,0.049112
411,0.049799,,4.05e-05,0.049112
412,0.050578,,3.97e-05,0.049112
413,0.050707,,3.88e-05,0.049112
414,0.049809,,3.80e-05,0.049112
415,0.050186,0.050416,3.71e-05,0.049112
416,0.050463,,3.63e-05,0.049112
417,0.051741,,3.55e-05,0.049112
418,0.051168,,3.47e-05,0.049112
419,0.049180,,3.39e-05,0.049112
420,0.049184,0.055209,3.31e-05,0.049112
421,0.051168,,3.23e-05,0.049112
422,0.050169,,3.16e-05,0.049112
423,0.047741,,3.08e-05,0.049112
424,0.050427,,3.00e-05,0.049112
425,0.049906,0.055879,2.93e-05,0.049112
426,0.049271,,2.86e-05,0.049112
427,0.049723,,2.78e-05,0.049112
428,0.050279,,2.71e-05,0.049112
429,0.051008,,2.64e-05,0.049112
430,0.049938,0.052365,2.57e-05,0.049112
431,0.049176,,2.50e-05,0.049112
432,0.049106,,2.43e-05,0.049112
433,0.051024,,2.37e-05,0.049112
434,0.050058,,2.30e-05,0.049112
435,0.049435,0.050377,2.24e-05,0.049112
436,0.050096,,2.17e-05,0.049112
437,0.050267,,2.11e-05,0.049112
438,0.049078,,2.05e-05,0.049112
439,0.049731,,1.98e-05,0.049112
440,0.049406,0.052339,1.92e-05,0.049112
441,0.050765,,1.86e-05,0.049112
442,0.050170,,1.81e-05,0.049112
443,0.050121,,1.75e-05,0.049112
444,0.050127,,1.69e-05,0.049112
445,0.050435,0.055432,1.64e-05,0.049112
446,0.050214,,1.58e-05,0.049112
447,0.050081,,1.53e-05,0.049112
448,0.050210,,1.47e-05,0.049112
449,0.048922,,1.42e-05,0.049112
450,0.049176,0.053919,1.37e-05,0.049112
451,0.049224,,1.32e-05,0.049112
452,0.049232,,1.27e-05,0.049112
453,0.048520,,1.22e-05,0.049112
454,0.049161,,1.18e-05,0.049112
455,0.048548,0.049623,1.13e-05,0.049112
456,0.049780,,1.09e-05,0.049112
457,0.051359,,1.04e-05,0.049112
458,0.049622,,9.99e-06,0.049112
459,0.048534,,9.57e-06,0.049112
460,0.048405,0.053470,9.16e-06,0.049112
461,0.049603,,8.76e-06,0.049112
462,0.050379,,8.37e-06,0.049112
463,0.049659,,7.99e-06,0.049112
464,0.051094,,7.62e-06,0.049112
465,0.049571,0.054796,7.26e-06,0.049112
466,0.049899,,6.90e-06,0.049112
467,0.050859,,6.56e-06,0.049112
468,0.050091,,6.23e-06,0.049112
469,0.048087,,5.91e-06,0.049112
470,0.049293,0.050280,5.60e-06,0.049112
471,0.049605,,5.30e-06,0.049112
472,0.049779,,5.01e-06,0.049112
473,0.049909,,4.73e-06,0.049112
474,0.049979,,4.46e-06,0.049112
475,0.049758,0.055939,4.20e-06,0.049112
476,0.049029,,3.95e-06,0.049112
477,0.050905,,3.71e-06,0.049112
478,0.050465,,3.48e-06,0.049112
479,0.050781,,3.26e-06,0.049112
480,0.048756,0.054523,3.05e-06,0.049112
481,0.050121,,2.85e-06,0.049112
482,0.051073,,2.66e-06,0.049112
483,0.049215,,2.48e-06,0.049112
484,0.050148,,2.31e-06,0.049112
485,0.049765,0.051731,2.15e-06,0.049112
486,0.049557,,2.00e-06,0.049112
487,0.051339,,1.87e-06,0.049112
488,0.051767,,1.74e-06,0.049112
489,0.049695,,1.62e-06,0.049112
490,0.049148,0.049935,1.51e-06,0.049112
491,0.049445,,1.42e-06,0.049112
492,0.049674,,1.33e-06,0.049112
493,0.049662,,1.25e-06,0.049112
494,0.048190,,1.18e-06,0.049112
495,0.049624,0.051732,1.13e-06,0.049112
496,0.049751,,1.08e-06,0.049112
497,0.048851,,1.05e-06,0.049112
498,0.049245,,1.02e-06,0.049112
499,0.049188,,1.01e-06,0.049112
500,0.048615,0.056990,1.00e-06,0.049112
